name,cost,description,url_index_to_img,type,quantity
Simple Knight,10000,"(Armor piece) of a lowly knight, fashioned from solid iron. This/these (armor piece) might be on the heftier side compared to others of their ilk, but as such offer great physical absorption in exchange for its/their imposing weight.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/knight_set_small.jpg,armor,19
Havel's Set,60000,"Armor as if hewn from a giant boulder. Highly protective, but excessively heavy.

The warriors who followed Havel the Rock never flinched, nor retreated from battle, crushing any foe that stood in their way.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/havels_set_small.jpg,armor,27
Catarina Set ,100000,"Distinctively shaped armor worn by the Knights of Catarina.

Often ridiculed for its onion-like shape, infuriating the country's proud knights, but the masterfully forged curved design makes it very effective for deflective blows.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/catarina_set_small.jpg,armor,15
Uchigatana,1000,"A unique katana characterized by the fine craftsmanship of an eastern land where it was forged.

The finely-sharpened blade cuts flesh like butter and causes bleeding, but breaks easily as a result.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/uchigatana.png,sword,16
Dagger,160,"Small daggers lack power or reach, but can deal quick consecutive hits due to their light weight.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/Dagger2.png,sword,45
Long Sword ,500,"A balanced, widely-used standard straight sword. Inflicts reliable standard damage, as well as high thrust damage.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/longsword.png,sword,33
Broadsword,700,"A straight sword with a broad blade designed for slashing.

A large sweeping attack makes this effective against crowds, but is prone to deflection from walls in narrow spaces.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/broadsword.png,sword,27
Exile Greatsword,5000,"Bloodstained greatsword wielded by one of the Watchdogs of Farron, who preside over the slumber of fallen warriors. The blade is a reminder of the exile's past misdeeds.

Inhuman strength is required to wield this heaviest of curved greatswords.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/exile_greatsword.png,sword,10
Valorheart,4000,"Weapon once wielded by the Champion of the Undead Match. A special paired set consisting of a broad sword and a lion shield.

The champion fought on, without rest, until he lost his mind. In the end, only his page and a lone wolf stayed at his side.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/valorheart_-_final.png,sword,39
Black Knight Greatsword ,6000,"Ultra greatsword wielded by the Black Knights who wander the lands. Designed to face chaos demons.

The Black Knights constantly faced foes larger than themselves, and this sword's unique attack greatly reduces enemy poise",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/black_knight_greatsword.png,sword,30
Shotel,200,"Broadly curved sword known as the favored weapon of the tragic Embraced Knight.

Shaped to sneak around the defenses of shields, this sword requires ample dexterity to wield effectively.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/shotel.png,sword,17
Sellsword Twinblades,900,"Paired scimitars used by certain sellswords. The scimitars' sharp blades make for effective slashing attacks, but fare poorly against metal armor and tough scale-covered hides.

With a scimitar in each hand, the wielder can vary their onslaught with unique left-handed attacks when in the proper stance.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/sellsword_twinblades.png,sword,33
Ring of Sacrifice,1000,"This mystical ring was created in a sacrificial rite of Velka, the Goddess of Sin.

Its wearer will lose nothing upon death, but the ring itself breaks.

A sacrifice is only worth as much as the life it spares.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/ring_of_sacrifice.png,ring,11
Silvercat Ring ,500,"In the Age of Gods, or possibily following it, an old cat was said to speak a human tongue, with the voice of an old woman, and the form of a fanciful immortal.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/silver_cat_ring.png,ring,49
Red Tearstone Ring,2000,"This stone is said to be a tear of mourning of the goddess Caitha, and of course, tears are always more beautiful near death.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/red_tearstone_ring.png,ring,16
Wood Grain ring,200,"This special ring crafted in an Eastern land is made of metal, but with a wood grain crest on its surface. Slows equipment degradation.

Wielders of swords originating in the same region follow a practice of inscribing special words on the blades of their swords, and are naturally drawn to this ring.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/wood_grain_ring.png,ring,16
Chloranthy Ring,50,"This old ring is named for its decorative green blossom, but its luster is long since faded.",https://darksouls3.wiki.fextralife.com/file/Dark-Souls-3/chloranty_ring.png,ring,33
